season,weekend,time_of_day,dew_point,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
summer,weekday,night,16.99948633744492,25.923333333333332,37.93,10.28,124.33666666666666,229.6,68.55,25.46666666666667,43.6,14.6,47.94333333333333,52.9,45.44,1014.7599999999999,1015.39,1013.73,29.146666666666665,30.12,27.23,21.766666666666666,22.37,20.62,2.4,2.0,3,2.233333333333333,12.23
summer,weekday,night,15.663150649093584,28.845,29.82,27.87,244.44,248.49,240.39,54.75,57.7,51.8,54.605000000000004,54.61,54.6,1012.715,1012.86,1012.57,25.475,25.48,25.47,21.94,21.94,21.94,1.6,1.5,2,1.55,9.1
summer,weekday,night,14.293397958005189,31.11,31.11,31.11,265.72,265.72,265.72,244.9,244.9,244.9,48.18,48.18,48.18,1009.21,1009.21,1009.21,26.1,26.1,26.1,21.81,21.81,21.81,2.1,2.1,1,2.1,5.77
summer,weekday,night,9.317105620186386,33.38666666666666,37.08,27.87,187.00333333333333,251.78,70.22,43.03333333333333,55.9,17.5,26.060000000000002,26.28,25.62,1017.7433333333333,1018.98,1016.96,31.03,31.52,30.78,25.23,25.75,24.94,4.1,2.8,3,3.5666666666666664,8.54
summer,weekday,night,9.032338647470109,16.335,30.74,1.93,257.09999999999997,259.53,254.67,72.55,72.8,72.3,27.55,27.55,27.55,1017.405,1017.56,1017.25,29.725,29.73,29.72,24.31,24.31,24.31,5.5,4.1,2,4.8,4.27
summer,weekend,afternoon,18.808158994314734,7.82,7.82,7.82,103.03,103.03,103.03,80.8,80.8,80.8,43.32,43.32,43.32,1004.2,1004.2,1004.2,32.92,32.92,32.92,28.12,28.12,28.12,7.1,7.1,1,7.1,13.13
summer,weekday,morning,18.11768641559908,34.48,34.48,34.48,278.52,278.52,278.52,129.5,129.5,129.5,41.65,41.65,41.65,1007.04,1007.04,1007.04,32.85,32.85,32.85,29.0,29.0,29.0,6.2,6.2,1,6.2,4.01
autumn,weekday,afternoon,3.8629267453244998,22.509999999999998,31.91,13.11,160.10000000000002,268.97,51.23,123.75,124.9,122.6,25.015,25.11,24.92,1008.655,1009.26,1008.05,25.295,25.3,25.29,19.75,19.75,19.75,3.9,3.8,2,3.8499999999999996,7.59
autumn,weekday,night,3.6639451860403174,37.14666666666667,43.95,23.54,134.70666666666668,247.76,78.18,78.93333333333334,96.8,70.0,33.10333333333333,33.15,33.07,1019.7633333333333,1020.4,1018.83,20.44,20.59,20.14,14.316666666666668,14.38,14.19,3.0,2.3,3,2.5666666666666664,5.7
autumn,weekday,night,15.136041336738069,39.61,39.61,39.61,73.78,73.78,73.78,29.7,29.7,29.7,65.83,65.83,65.83,997.32,997.32,997.32,21.81,21.81,21.81,17.31,17.31,17.31,6.6,6.6,1,6.6,7.38
autumn,weekday,night,15.306667081342642,27.39,30.39,24.39,160.56,254.2,66.92,61.150000000000006,78.4,43.9,68.35,68.62,68.08,996.635,997.48,995.79,21.375,21.49,21.26,17.25,17.56,16.94,9.7,7.3,2,8.5,4.21
autumn,weekday,afternoon,14.504595364660835,29.195,41.78,16.61,51.09,70.26,31.92,0.0,1.2,-1.2,42.705,42.75,42.66,991.47,991.95,990.99,28.39,28.4,28.38,22.405,22.44,22.37,6.4,4.7,2,5.550000000000001,31.76
autumn,weekday,night,9.620786170533954,4.875,9.39,0.15,98.88,226.88,41.31,39.325,40.8,36.2,44.5,44.56,44.45,1019.26,1019.41,1019.11,22.2925,22.3,22.28,17.47,17.5,17.44,10.4,7.3,4,8.475,13.57
autumn,weekday,morning,9.409539899159121,13.209999999999999,16.32,10.7,254.44250000000002,264.23,234.65,50.125,54.1,45.4,43.96,44.03,43.92,1018.4375,1018.63,1018.25,22.26,22.27,22.25,17.19,17.19,17.19,9.2,6.7,4,8.025,12.16
autumn,weekday,morning,8.761910771544136,5.13,5.13,5.13,350.07,350.07,350.07,263.8,263.8,263.8,42.76333333333333,42.78,42.75,1009.4699999999999,1010.35,1008.6,21.996666666666666,22.0,21.99,15.9,15.94,15.88,8.1,7.3,3,7.733333333333333,15.1
autumn,weekday,night,8.474511622149256,24.34,24.34,24.34,272.53,272.53,272.53,209.0,209.0,209.0,54.67,54.67,54.67,1014.54,1014.54,1014.54,17.72,17.72,17.72,15.19,15.19,15.19,5.4,5.4,1,5.4,11.63
autumn,weekday,afternoon,13.675373846714997,2.26,2.26,2.26,39.26,39.26,39.26,158.7,158.7,158.7,65.16166666666668,65.23,65.09,993.0966666666667,994.77,991.11,20.438333333333333,20.47,20.42,14.799999999999999,14.87,14.69,15.4,10.5,6,13.1,14.54
autumn,weekday,morning,11.637339286693715,12.26,13.98,10.22,307.77666666666664,316.37,300.21,15.433333333333332,16.7,14.5,64.15666666666667,64.16,64.15,1000.37,1000.51,1000.21,18.540000000000003,18.55,18.53,13.56,13.56,13.56,13.1,11.3,3,12.166666666666666,4.22
autumn,weekday,morning,5.265693485369912,24.69,24.69,24.69,226.31000000000003,226.31,226.31,6.7,6.7,6.7,51.156666666666666,51.16,51.15,989.4633333333335,989.87,989.08,15.303333333333335,15.31,15.3,9.69,9.69,9.69,3.8,3.6,3,3.6999999999999997,4.27
winter,weekday,morning,1.524039949618387,19.11,19.11,19.11,264.07,264.07,264.07,32.7,32.7,32.7,32.98,32.98,32.98,1016.25,1016.25,1016.25,18.06,18.06,18.06,11.69,11.69,11.69,1.7,1.7,1,1.7,23.26
winter,weekday,morning,9.387866831809209,12.9525,28.17,0.41,123.4575,247.39,72.28,13.375,44.5,0.2,40.935,42.25,40.49,1015.34,1015.82,1014.34,23.4125,23.62,22.85,14.5175,14.63,14.38,15.4,13.7,4,14.4,14.56
winter,weekday,night,9.03854237890708,53.42,100.86,5.98,260.09000000000003,262.93,257.25,22.049999999999997,22.4,21.7,57.605000000000004,57.61,57.6,1012.425,1012.6,1012.25,17.494999999999997,17.5,17.49,10.719999999999999,10.75,10.69,51.0,47.4,2,49.2,63.37
winter,weekday,night,9.132251747421583,19.705,30.41,9.0,161.32999999999998,255.16,67.5,34.0,46.9,21.1,60.155,60.42,59.89,1013.51,1014.27,1012.75,16.91,17.09,16.73,10.625,10.75,10.5,55.3,53.8,2,54.55,34.87
winter,weekday,morning,10.472113081080167,15.566666666666668,22.41,12.09,197.89000000000001,264.08,70.8,58.5,62.9,55.4,55.79333333333333,55.87,55.71,1021.3433333333332,1022.21,1020.79,19.540000000000003,19.68,19.26,12.479999999999999,12.5,12.44,41.6,40.1,3,41.03333333333333,41.01
winter,weekday,night,9.357697874433317,38.71,38.71,38.71,254.69,254.69,254.69,34.2,34.2,34.2,55.6,55.6,55.6,1020.93,1020.93,1020.93,18.4,18.4,18.4,11.12,11.12,11.12,9.5,9.5,1,9.5,7.47
winter,weekday,night,0.14581111257971086,36.660000000000004,42.95,30.37,254.935,257.47,252.4,39.7,41.3,38.1,41.435,41.45,41.42,1013.8050000000001,1014.02,1013.59,12.95,12.97,12.93,5.779999999999999,5.81,5.75,10.7,10.1,2,10.399999999999999,2.83
