season,weekend,time_of_day,dew_point,DEW_POINT_MAX,DEW_POINT_MIN,LAT_MEAN,LAT_MAX,LAT_MIN,LON_MEAN,LON_MAX,LON_MIN,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
spring,weekday,morning,9.732075858230058,9.732075858230058,9.732075858230058,45.623533,45.623533,45.623533,13.787943,13.787943,13.787943,36.34,36.34,36.34,76.36,76.36,76.36,27.0,27.0,27.0,43.87,43.87,43.87,1020.65,1020.65,1020.65,22.65,22.65,22.65,16.0,16.0,16.0,14.4,14.4,1,14.4,30.87
spring,weekday,morning,10.337878227389687,10.340596536806178,10.335159917973199,45.623540000000006,45.623612,45.623468,13.7876905,13.788148,13.787233,24.215,33.37,15.06,76.51,79.79,73.23,29.15,30.8,27.5,42.045,42.05,42.04,1019.87,1019.96,1019.78,24.025,24.03,24.02,18.37,18.37,18.37,8.0,7.9,2,7.95,33.86
spring,weekday,afternoon,6.849476755304627,6.85388198206025,6.845071528549004,45.6235585,45.623612,45.623505,13.78744,13.788103,13.786777,20.875,33.82,7.93,101.29499999999999,129.79,72.8,35.45,38.8,32.1,34.93,34.93,34.93,1017.345,1017.43,1017.26,23.185000000000002,23.19,23.18,16.87,16.87,16.87,6.6,5.6,2,6.1,13.71
spring,weekday,afternoon,8.77441847001603,8.77441847001603,8.77441847001603,45.623482,45.623482,45.623482,13.787558,13.787558,13.787558,31.45,31.45,31.45,80.95,80.95,80.95,33.1,33.1,33.1,40.71,40.71,40.71,1017.46,1017.46,1017.46,22.82,22.82,22.82,15.5,15.5,15.5,9.3,9.3,1,9.3,6.78
spring,weekday,afternoon,7.647248100881401,7.6472481008814,7.6472481008814,45.623538999999994,45.62358,45.62346,13.787677,13.788043,13.786978,9.9,23.87,0.0,99.28666666666668,141.42,71.38,33.13333333333333,34.5,31.9,37.53,37.53,37.53,1016.9699999999999,1017.12,1016.81,22.899999999999995,22.9,22.9,16.12,16.12,16.12,11.7,9.5,3,10.433333333333332,5.7
spring,weekday,evening,10.427664897135069,10.427664897135069,10.427664897135069,45.623468,45.623468,45.623468,13.786677,13.786677,13.786677,30.39,30.39,30.39,112.05,112.05,112.05,42.9,42.9,42.9,49.75,49.75,49.75,1018.53,1018.53,1018.53,21.35,21.35,21.35,14.0,14.0,14.0,12.5,12.5,1,12.5,7.38
spring,weekday,evening,9.072016738367555,9.072016738367555,9.072016738367555,45.623508,45.623508,45.623508,13.78648,13.78648,13.78648,28.43,28.43,28.43,129.86,129.86,129.86,34.2,34.2,34.2,48.43,48.43,48.43,1018.34,1018.34,1018.34,20.31,20.31,20.31,13.69,13.69,13.69,36.1,36.1,1,36.1,9.82
spring,weekday,evening,9.383798044829469,9.383798044829469,9.383798044829469,45.623405,45.623405,45.623405,13.786838,13.786838,13.786838,27.91,27.91,27.91,100.12,100.12,100.12,44.2,44.2,44.2,48.64,48.64,48.64,1018.37,1018.37,1018.37,20.58,20.58,20.58,13.5,13.5,13.5,9.8,9.8,1,9.8,16.38
spring,weekday,night,3.852879752362326,3.852879752362326,3.852879752362326,45.623423,45.623423,45.623423,13.78679,13.78679,13.78679,26.93,26.93,26.93,107.77,107.77,107.77,43.5,43.5,43.5,56.7,56.7,56.7,995.99,995.99,995.99,12.2,12.2,12.2,11.75,11.75,11.75,6.7,6.7,1,6.7,5.3
spring,weekday,night,5.565509535024383,5.565509535024383,5.565509535024383,45.623423,45.623423,45.623423,13.786722,13.786722,13.786722,27.19,27.19,27.19,114.38,114.38,114.38,37.3,37.3,37.3,54.02,54.02,54.02,996.36,996.36,996.36,14.78,14.78,14.78,11.75,11.75,11.75,5.0,5.0,1,5.0,5.62
