season,weekend,time_of_day,dew_point,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
spring,weekday,afternoon,3.6582234052474436,52.24,52.24,52.24,113.56,113.56,113.56,378.6,378.6,378.6,42.95,42.95,42.95,973.51,973.51,973.51,16.28,16.28,16.28,10.5,10.5,10.5,16.5,16.5,1,16.5,4.31
spring,weekday,night,7.083789804638975,64.36,64.36,64.36,294.19,294.19,294.19,378.1,378.1,378.1,67.1,67.1,67.1,966.5,966.5,966.5,13.05,13.05,13.05,5.62,5.62,5.62,3.5,3.5,1,3.5,6.78
spring,weekday,morning,5.786709212912995,57.67,57.67,57.67,113.99,113.99,113.99,375.9,375.9,375.9,66.31,66.31,66.31,967.34,967.34,967.34,11.87,11.87,11.87,5.62,5.62,5.62,6.2,6.2,1,6.2,6.23
spring,weekday,morning,8.795621747552959,65.04,65.04,65.04,113.75,113.75,113.75,369.6,369.6,369.6,50.45,50.45,50.45,969.02,969.02,969.02,19.35,19.35,19.35,14.69,14.69,14.69,7.6,7.6,1,7.6,13.8
spring,weekday,morning,9.449951690099166,62.45,62.45,62.45,114.73,114.73,114.73,382.4,382.4,382.4,56.51,56.51,56.51,969.62,969.62,969.62,18.24,18.24,18.24,14.75,14.75,14.75,10.1,10.1,1,10.1,13.8
spring,weekday,morning,8.894740834221412,61.78,61.78,61.78,292.66,292.66,292.66,375.4,375.4,375.4,48.66,48.66,48.66,968.37,968.37,968.37,20.04,20.04,20.04,14.63,14.63,14.63,8.4,8.4,1,8.4,11.28
spring,weekday,afternoon,8.589869812538195,57.02,57.02,57.02,114.18,114.18,114.18,385.2,385.2,385.2,47.55,47.55,47.55,968.66,968.66,968.66,20.08,20.08,20.08,15.38,15.38,15.38,7.0,7.0,1,7.0,8.15
spring,weekday,afternoon,9.325420362439006,64.02,64.02,64.02,114.53,114.53,114.53,363.7,363.7,363.7,53.37,53.37,53.37,969.04,969.04,969.04,19.02,19.02,19.02,13.69,13.69,13.69,12.0,12.0,1,12.0,6.45
spring,weekday,afternoon,8.931276770507356,65.38,65.38,65.38,291.95,291.95,291.95,369.4,369.4,369.4,51.52,51.52,51.52,969.04,969.04,969.04,19.16,19.16,19.16,12.25,12.25,12.25,12.6,12.6,1,12.6,5.98
spring,weekday,afternoon,7.309712032944907,60.52,60.52,60.52,113.87,113.87,113.87,375.8,375.8,375.8,51.6,51.6,51.6,969.97,969.97,969.97,17.38,17.38,17.38,11.81,11.81,11.81,15.5,15.5,1,15.5,7.63
spring,weekday,afternoon,8.775244026705963,65.04,65.04,65.04,113.93,113.93,113.93,360.6,360.6,360.6,56.04,56.04,56.04,971.77,971.77,971.77,17.65,17.65,17.65,11.44,11.44,11.44,5.0,5.0,1,5.0,9.72
spring,weekday,evening,7.292138215132895,64.95,64.95,64.95,113.93,113.93,113.93,363.8,363.8,363.8,53.33,53.33,53.33,971.09,971.09,971.09,16.84,16.84,16.84,10.63,10.63,10.63,17.2,17.2,1,17.2,8.97
spring,weekday,evening,5.610975718919244,64.76,64.76,64.76,112.99,112.99,112.99,367.1,367.1,367.1,55.5,55.5,55.5,972.58,972.58,972.58,14.41,14.41,14.41,6.87,6.87,6.87,6.0,6.0,1,6.0,9.23
spring,weekday,evening,5.6154525184097865,65.29,65.43,65.15,203.765,294.77,112.76,365.05,367.1,363.0,57.755,58.2,57.31,973.0050000000001,973.19,972.82,13.8,14.41,13.19,6.6850000000000005,6.87,6.5,6.4,4.1,2,5.25,7.86
spring,weekday,morning,8.879625295193968,54.65,54.65,54.65,293.57,293.57,293.57,367.3,367.3,367.3,50.11,50.11,50.11,972.61,972.61,972.61,19.55,19.55,19.55,15.0,15.0,15.0,20.4,20.4,1,20.4,23.89
spring,weekday,morning,3.35998954066224,58.56,58.56,58.56,294.49,294.49,294.49,383.1,383.1,383.1,45.56,45.56,45.56,966.26,966.26,966.26,15.03,15.03,15.03,11.81,11.81,11.81,6.7,6.7,1,6.7,4.15
spring,weekday,morning,1.1395846853086342,51.08,51.08,51.08,113.72,113.72,113.72,373.5,373.5,373.5,31.19,31.19,31.19,966.82,966.82,966.82,18.51,18.51,18.51,15.69,15.69,15.69,1.4,1.4,1,1.4,3.47
spring,weekday,morning,-0.2925823936553854,62.08,62.08,62.08,294.39,294.39,294.39,367.8,367.8,367.8,26.72,26.72,26.72,966.13,966.13,966.13,19.33,19.33,19.33,14.81,14.81,14.81,1.2,1.2,1,1.2,4.42
spring,weekday,morning,-2.5984624435380668,49.0,49.0,49.0,114.12,114.12,114.12,358.0,358.0,358.0,22.49,22.49,22.49,966.33,966.33,966.33,19.38,19.38,19.38,15.44,15.44,15.44,1.3,1.3,1,1.3,8.01
